,Address,Lot_Size,Price,Unit,latitude,longitude
2315,"Middle Creek Ranch Rd, Klamath River, CA 96050",39.73,31500.0,acres lot,41.853,-123.032
2316,"Curly Jack Rd, Happy Camp, CA 96039",0.7,25000.0,acres lot,41.779,-123.3921
2317,"721 Lake Forest Dr, Trinity Center, CA 96091",0.26,25000.0,acres lot,40.911,-122.7832
2318,"181 Millview Dr, Trinity Center, CA 96091",0.28,25000.0,acres lot,40.911,-122.77148
2319,"120 Pike St, Crescent City, CA 95531",0.23999081726354454,23900.0,sqft lot,41.7573,-124.15765
2320,"23.2 Acres Hwy #96, Klamath River, CA 96050",23.2,18500.0,acres lot,41.8612,-122.82558
2321,"0 Noels Way, Crescent City, CA 95531",2.0,135900.0,acres lot,41.830,-124.1584
2322,"Bayview Dr, Crescent City, CA 95531",2.12,135000.0,acres lot,41.764,-124.164
2323,"920 Bear Creek Rd, Weaverville, CA 96093",10.39,135000.0,acres lot,40.807,-122.8995
2324,"0 Iron Gate Rd, Hoopa, CA 95546",40.0,130000.0,acres lot,41.2325,-123.76970
2325,"129 Fred Haight Dr, Smith River, CA 95567",0.39,129000.0,acres lot,41.9,-124.1457
2326,"121 Apn #60-026, Smith River, CA 95567",19.8,129000.0,acres lot,41.9281,-124.14702
2327,"131 Indian Meadows Dr, Happy Camp, CA 96039",6.1,125000.0,acres lot,41.8099,-123.38522
2328,"121 Apn #50-013, Smith River, CA 95567",19.33,125000.0,acres lot,41.9281,-124.14702
2329,"15 Madame Gasquet Ln, Gasquet, CA 95543",1.18,125000.0,acres lot,41.8491,-123.96721
2330,"0 Rowdy Creek Rd, Smith River, CA 95567",19.29,125000.0,acres lot,41.929,-124.14344
2331,"5641 Campbell Ridge Rd, Salyer, CA 95563",1.48,125000.0,acres lot,40.930,-123.61649
2332,"15575 Us Highway 101 N, Klamath, CA 95548",0.97,115000.0,acres lot,41.580,-124.0786
2333,"2783 North St, Eureka, CA 95501",2.2,98000.0,acres lot,40.8012,-124.13629
2334,"1355 Ferndale Ln, Crescent City, CA 95531",1.01,89900.0,acres lot,41.777,-124.17154
2335,"801 6th Ave, Trinidad, CA 95570",0.27,85000.0,acres lot,41.036,-124.1045
2336,"2102 S St, Eureka, CA 95501",0.18000459136822775,85000.0,sqft lot,40.788,-124.1497
2337,"1106 S Oregon St, Yreka, CA 96097",0.16999540863177226,77000.0,sqft lot,41.721,-122.6414
2338,"212 S Fairchild St, Yreka, CA 96097",1.0,75000.0,acres lot,41.7324,-122.6460
2339,"1545 Xavier Ct, Fortuna, CA 95540",0.82,199900.0,acres lot,40.579,-124.1363
2340,"7965 Valley Dr, Eureka, CA 95503",5.0,199000.0,acres lot,40.7035,-124.18704
2341,"830 Eel River Dr, Loleta, CA 95551",5.06,195000.0,acres lot,40.661,-124.2085
2342,"1001 Old Mill Rd, Mount Shasta, CA 96067",5.6,192900.0,acres lot,41.302,-122.3100
2343,"300 Park Ave, Crescent City, CA 95531",5.0,190000.0,acres lot,41.832,-124.1609
2344,"15296 Ruggles Rd, Shasta, CA 96087",4.2,189000.0,acres lot,40.584,-122.4941
2345,"Yeoty Mountain LOT 17, Lakehead, CA 96051",14.5,185000.0,acres lot,40.905,-122.37917
2346,"LOT 103 Ridge Rd #103, Smith River, CA 95567",1.94,185000.0,acres lot,41.9281,-124.14702
2347,"LOT 104 Ridge Rd #104, Smith River, CA 95567",1.71,185000.0,acres lot,41.9281,-124.14702
2348,"Silver King Rd LOT 1, Redding, CA 96001",4.35,185000.0,acres lot,46.9669,-64.06978
2349,"Shasta Dam Blvd, Shasta Lake, CA 96019",4.67,185000.0,acres lot,40.685,-122.3810
2350,"311 Oak Ranch Rd, Lewiston, CA 96052",40.0,185000.0,acres lot,40.6858,-122.85174
2351,"9911 State Highway 3, Hayfork, CA 96041",9.58,185000.0,acres lot,40.558,-123.13161
2352,"281 Earl St, Crescent City, CA 95531",3.93,185000.0,acres lot,41.8199,-124.1571
2353,"1550 Lewiston Rd, Lewiston, CA 96052",5.02,185000.0,acres lot,40.7007,-122.8260
2354,"LOT 1 Ocean Spruce Ln, Eureka, CA 95503",0.59,183000.0,acres lot,46.9669,-64.06978
2355,"Up Klamath Rive Starwin, Klamath, CA 95548",11.0,175000.0,acres lot,41.5403,-124.04979
2356,"LOT 36 Bell Hole Loop, Crescent City, CA 95531",1.0,170000.0,acres lot,41.7559,-124.20174
2357,"Lot # 47 Speer Dr, Crescent City, CA 95531",1.0,170000.0,acres lot,41.837,-124.10559
2358,"0 Wilder Rd, Carlotta, CA 95528",3.16,169999.0,acres lot,40.533,-124.04156
2359,"LOT 1 Ocean Heights Way, Smith River, CA 95567",2.01,169000.0,acres lot,41.9281,-124.14702
2360,"5601 Kings Valley Rd, Crescent City, CA 95531",3.75,169000.0,acres lot,41.845,-124.14029
2361,"23 Street, Eureka, CA 95501",1.02,165000.0,acres lot,40.787,-124.1415
2362,"83 & 103 Butterfly Creek Rd, Willow Creek, CA 95573",0.79,165000.0,acres lot,40.947,-123.6264
2363,"005400003-005400010, Shasta Lake, CA 96019",1.61,165000.0,acres lot,40.6799,-122.36265
2364,"9607 State Highway 3, Hayfork, CA 96041",5.0,165000.0,acres lot,40.5593,-123.13515
2365,"9613 State Highway 3, Hayfork, CA 96041",5.01,165000.0,acres lot,40.5603,-123.13538
2366,"9601 State Highway 3, Hayfork, CA 96041",4.92,165000.0,acres lot,40.5581,-123.13481
2367,"230 Shasta Springs Rd, Weaverville, CA 96093",14.47,164900.0,acres lot,40.7357,-122.91970
2368,"16266 Gold Pan Way, Redding, CA 96001",14.6,160000.0,acres lot,40.609,-122.4556
2369,"10049 Tilton Mine Rd, Redding, CA 96001",2.11,160000.0,acres lot,40.579,-122.4608
2370,"236 Shasta Springs Rd, Weaverville, CA 96093",16.47,160000.0,acres lot,40.7360,-122.91722
2371,"Lot # 46 Speer Dr, Crescent City, CA 95531",1.0,160000.0,acres lot,41.837,-124.10559
2372,"Lot # 45 Speer Dr, Crescent City, CA 95531",1.0,160000.0,acres lot,41.837,-124.10559
2373,"9916 Swasey Dr, Redding, CA 96001",3.87,159500.0,acres lot,40.574,-122.4783
2374,"16198 Bush St, Redding, CA 96001",10.18,159000.0,acres lot,40.623,-122.4572
2375,"0 W C St, Crescent City, CA 95531",0.29,159000.0,acres lot,41.752,-124.2049
2376,"10227 Grand Forks Ct, Redding, CA 96001",3.66,157500.0,acres lot,40.584,-122.4767
2377,"13145 Ocean View Dr, Smith River, CA 95567",1.32,155000.0,acres lot,41.955,-124.2006
2378,"10158 Grand Forks Ct, Redding, CA 96001",3.66,150000.0,acres lot,40.583,-122.4801
2379,"15765 Old Stagecoach Rd, Redding, CA 96001",8.0,150000.0,acres lot,40.583,-122.4722
2380,"LOT 25 Skookum Ln, Crescent City, CA 95531",0.55,150000.0,acres lot,41.7559,-124.20174
2381,"LOT 44 Speer Dr, Crescent City, CA 95531",1.0,150000.0,acres lot,41.7559,-124.20174
2382,"0 Pine St, Eureka, CA 95501",0.13000459136822773,150000.0,sqft lot,40.7988,-124.17292
2383,"1-PHASE1 Stillwater Way, Redding, CA 96003",2.0,150000.0,acres lot,40.6016,-122.35687
2384,"Lot # 43 Speer Dr, Crescent City, CA 95531",1.0,150000.0,acres lot,41.837,-124.10559
2385,"Meadow View Dr, Redding, CA 96002",2.35,150000.0,acres lot,40.4981,-122.30557
2386,"707 Sultan Creek Rd, Crescent City, CA 95531",10.0,150000.0,acres lot,41.8713,-124.07865
2387,"4850 Persistence Ln, Redding, CA 96002",5.25,150000.0,acres lot,40.5371,-122.3082
2388,"1020 Summit Creek Rd, Hayfork, CA 96041",5.96,150000.0,acres lot,40.5730,-123.07401
2389,"15691 Old Stage Coach Rd, Redding, CA 96001",4.23,149900.0,acres lot,40.5807,-122.47671
2390,"Ashby And Pine Grv, Shasta Lake, CA 96019",11.02,149900.0,acres lot,40.6799,-122.36265
2391,"811 Santa Cruz Dr, Redding, CA 96003",1.0,149500.0,acres lot,40.600,-122.4223
2392,"565 Hilltop Dr, Fortuna, CA 95540",0.29,149000.0,acres lot,40.588,-124.13219
2393,"281 Garden Gulch Ln, Hayfork, CA 96041",20.19,149000.0,acres lot,40.5842,-123.0889
2394,"876 Santa Cruz Dr, Redding, CA 96003",2.41,149000.0,acres lot,40.600,-122.4301
2395,"110 Partridge Ln, Lewiston, CA 96052",2.79,149000.0,acres lot,40.715,-122.8350
2396,"55 Stony Creek Trl, Gasquet, CA 95543",1.23,149000.0,acres lot,41.854,-123.9678
2397,"55 Triple R Ln, Willow Creek, CA 95573",1.33,145000.0,acres lot,40.923,-123.6214
2398,"80 Acres Doney Creek Rd, Lakehead, CA 96051",80.0,145000.0,acres lot,40.905,-122.37917
2399,"440 Lake Rd, Junction City, CA 96048",6.95,142500.0,acres lot,40.755,-123.078
2400,"19150 Ground Squirrel Way, Lakehead, CA 96051",2.5,140000.0,acres lot,40.8120,-122.34964
2401,", Redding, CA 96001",13.5,139000.0,acres lot,40.5863,-122.39167
2402,"441 Galaxy Dr, Salyer, CA 95563",5.0,139000.0,acres lot,40.899,-123.5586
2403,"180 Ridge View Ct, Fortuna, CA 95540",0.15,135000.0,sqft lot,40.588,-124.13063
2404,"1584 Saint Andrews Dr, Redding, CA 96003",0.26,130000.0,acres lot,40.631,-122.3541
2405,"101 River Acres Rd, Junction City, CA 96048",4.15,130000.0,acres lot,40.762,-123.0834
2406,"19476 Palermo Ct, Redding, CA 96003",0.75,130000.0,acres lot,40.672,-122.33214
2407,"5079 Cummings Rd, Eureka, CA 95503",1.68,129000.0,acres lot,40.7749,-124.10420
2408,"1600 Lake Rd, Junction City, CA 96048",3.93,125000.0,acres lot,40.760,-123.0819
2409,"12910 Old Oregon Trl, Redding, CA 96003",2.0,125000.0,acres lot,40.664,-122.328
2410,"19407 Belleterre Dr, Redding, CA 96003",0.88,125000.0,acres lot,40.672,-122.334
2411,"13417 Tierra Heights Rd, Redding, CA 96003",0.86,125000.0,acres lot,40.676,-122.3268
2412,"15934 Cindee Ln, Redding, CA 96001",1.51,125000.0,acres lot,40.579,-122.4695
2413,"13231 Alicia Pkwy, Redding, CA 96003",1.43,125000.0,acres lot,40.6708,-122.3308
2414,"1191 Hillcrest Ave, Redding, CA 96001",0.29,125000.0,acres lot,40.5828,-122.4102
2415,"Brook Dr, Redding, CA 96001",3.0,122000.0,acres lot,40.5821,-122.4828
2416,"6911 Vista Rd, Eureka, CA 95503",1.4,120000.0,acres lot,40.722,-124.19421
