,Unnamed: 0,Address,Lot_Size,Price,Unit,State,Country,latitude,longitude,lat,long
296,299,"USA,California,0 Highway 43, Wasco, CA 93280",13.25,995000.0,acres lot,California,USA,35.743,-119.3343,35.5854727,-119.3339329
297,300,"USA,California,Near Gaskell Road & 75th Stw, Rosamond, CA 93560",75.5,995000.0,acres lot,California,USA,34.833,-118.5773,34.8345837,-118.2642823
298,301,"USA,California,0 Vac 20 Stw Vic Ave #G10, Lancaster, CA 93536",4.36,985000.0,acres lot,California,USA,34.77,-118.1868,34.7142496,-118.1621392
299,302,"USA,California,15313 Gosford Rd, Bakersfield, CA 93313",9.26,972500.0,acres lot,California,USA,35.217,-119.09333,35.2159542,-119.0935126
300,303,"USA,California,E Avenue Vac Corner Ave #I, Lancaster, CA 93535",38.59,964750.0,acres lot,California,USA,34.609,-118.1738,34.7045543,-118.0323324
301,304,"USA,California,0 Apn #75-040-07, Bakersfield, CA 93307",639.82,959730.0,acres lot,California,USA,35.3224,-118.9977,35.2421103,-118.9761519
302,305,"USA,California,116 W Ash St, Taft, CA 93268",38.46,950000.0,acres lot,California,USA,35.152,-119.4447,35.1513771,-119.4843106
303,306,"USA,California,52 Nd Stw Pav Vic Avenue Rd #K14, Lancaster, CA 93536",4.54,950000.0,acres lot,California,USA,34.721,-118.3255,34.7142496,-118.1621392
304,307,"USA,California,60 Saint West & Rosamond Blvd, Rosamond, CA 93560",32.5,949999.0,acres lot,California,USA,34.8641,-118.1634,34.8637563,-118.2158014
305,308,"USA,California,1800 S Chester Ave, Bakersfield, CA 93304",1.08,949900.0,acres lot,California,USA,35.3387,-119.01765,35.3386977,-119.017851
306,309,"USA,California,20th West & Ave #H4, Lancaster, CA 93534",11.27,920000.0,acres lot,California,USA,34.6981,-118.13661,34.7147679,-118.1660545
307,310,"USA,California,35442 Lancaster Rd, Lebec, CA 93243",140.0,910000.0,acres lot,California,USA,34.7649,-118.72445,34.76785510000001,-118.5621529
